textDisplay,authorDisplayName,likeCount,publishedAt,clean_text,sentiment_gold
"Kesini karna liat fiti di toktok😁, seru bangett",@NurainiHasibuan-re2dz,0,2024-07-13 13:09:35,kesini karena liat fiti di toktok seru bangett,positive
"Wadaw, hebat-hebat banget, keren!",@nadzarridho,0,2024-07-02 10:51:22,wadaw hebat hebat banget keren,positive
acara bergengsi indonesia dan mendidik... banyak2 acara seperti ini berkualitas dan berbobot. bangga liat nya. merinding liat anak anak berbakat ini. succes dan sehat selalu,@rajokighiievari8948,1,2024-07-13 09:46:51,acara bergengsi indonesia dan mendidik banyak acara seperti ini berkualitas dan berbobot bangga liat nya merinding liat anak anak berbakat ini succes dan sehat selalu,positive
Kereeennn sayang banget rea sama nana,@zhaskiashavana88,0,2024-06-29 17:32:04,kereenn sayang banget rea sama nana,positive
Setelah melihat ini gw jadi suka sama matematika🤭,@rmuhdani9197,1,2024-07-11 12:24:58,setelah melihat ini gw jadi suka sama matematika,positive
"Aku yg cuman ngelihatin soalnya, mikirin caranya, ikut hitung, habis itu skip-skip sampe babak berikutnya 😂😂😂",@anizzsuranizz3290,0,2024-06-30 02:34:15,aku yang cuman ngelihatin soalnya mikirin caranya ikut hitung habis itu skip skip sampe babak berikutnya,neutral
"Problematika anak sekarang dg kecanggihan teknologi, jadi bingung kalo harus hitung manual. Kalo saya malah bingung kalo hitung pake kalkulator, bolak balik dicek lagi. Lebih sreg kalo hitung manual",@nanichristantina2370,0,2024-07-17 13:09:15,problematika anak sekarang dg kecanggihan teknologi jadi bingung kalau harus hitung manual kalau saya malah bingung kalau hitung pake kalkulator bolak balik dicek lagi lebih sreg kalau hitung manual,negative
"min saran dong, nanti soalnya bisa dipublish jadi awam bisa belajar jugaaa",@clarakay-s8o,0,2024-06-29 16:52:30,min saran dong nanti soalnya bisa dipublish jadi awam bisa belajar jugaa,positive
GOOD JOB ALL❤,@fiyanii_chanel_5366,0,2024-07-08 14:47:28,good job all,positive
"PLEASEE INI SERU BANGET,...❤",@dramachannel2955,0,2024-06-30 14:18:10,pleasee ini seru banget,positive
YASSHHHHHHHHHHH,@zanariafowl,0,2024-06-29 11:32:02,yasshh,positive
"&quot;BALIK YUK&quot;😭😭😭 ngakakkk, ada ada aja mas nya",@ddeyycc,0,2024-07-01 05:16:17,quot balik yuk quot ngakakk ada ada saja mas nya,negative
SERU BANGETTTTTTTTT PLS CEPATTTT EPISODE 2 😭😭😭😭😭😭🫵🏼🫵🏼🫵🏼🫵🏼,@fadiaaa777,0,2024-06-30 03:07:58,seru bangett pls cepatt episode,positive
keren bgt fiks viralin!!!!,@BalkisSalsabila,0,2024-06-29 13:09:07,keren banget fiks viralin,positive
Allahumma sholli alaa sayyidina Muhammad. keren² sekali kakakk kakak iniii. proud banget yang fail tetep PD 💗🔥,@yunn-yunni4328,0,2024-06-30 23:25:29,allahumma sholli alaa sayyidina muhammad keren² sekali kakakk kakak inii proud banget yang fail tetep pada,positive
Seru bgt ??? <br>Kalian keren bgt woy!! Otak dan mental beneran diuji :&quot;),@jjhxdj88,0,2024-07-02 05:32:10,seru banget kalian keren banget woy otak dan mental beneran diuji quot,positive
"Bbyakin kek gnii mau editan apa kek,tp ttep mereka pinter gtu loh",@watamondol7927,0,2024-06-30 05:52:30,bbyakin kek gnii mau editan apa kek tp ttep mereka pinter gtu loh,positive
XD Lycaa Lucu bener tkt di hujat netizen,@rizkynurnorman9600,0,2024-06-29 18:08:25,xd lycaa lucu bener tkt di hujat netizen,negative
Gw nangisin diri sendiri nonton ini,@hafidh4549,1,2024-07-01 20:33:58,gw nangisin diri sendiri nonton ini,positive
Keren banget ada anak UIN masuk,@iniaenii_id,0,2024-07-13 05:39:59,keren banget ada anak uin masuk,positive
insecure sesungguhnya😭,@jihanyasir9181,1,2024-07-04 11:59:21,insecure sesungguhnya,negative
"wah seru banget, nggak sabar menunggu episode 2 😍",@nindiwulandari5391,0,2024-06-30 05:44:43,wah seru banget tidak sabar menunggu episode,positive
sering² buat event ky gini yakk..,@racuncantikkk,0,2024-07-05 09:19:19,sering² buat event ky gini yakk,positive
"plisss merinding dri awal smpe akhirr😣, KERENN SEMUAANYAA🫶🏻🫶🏻🫶🏻🫶🏻",@aureliavira2005,0,2024-06-30 09:03:13,pliss merinding dari awal smpe akhirr kerenn semuaanyaa,positive
Tapi salfok sama yang juara 1 ruang guru koq gk berhasil ya,@desiyy99,0,2024-08-18 07:01:50,tapi salfok sama yang juara ruang guru koq tidak berhasil ya,negative
Mantap,@umrialwi1541,0,2024-06-30 06:38:33,mantap,positive
Acara keren ini harus di viralkan dan di biayain trus kalau bisa per sisen trus ini,@BayuBudbud212,0,2024-07-05 14:59:50,acara keren ini harus di viralkan dan di biayain trus kalau bisa per sisen trus ini,positive
"<a href=""https://www.youtube.com/watch?v=dY_3acmFFRQ&amp;t=1307"">21:47</a> EDITORNYA NGESELINNN",@Maruais,1,2024-07-01 11:25:10,a href editornya ngeselinn,negative
"Nonton ini, sambil merinding, liat begitu aAMAZINGnya anak bangsa yang hebat² ini...Terimakasih RUANG GURU",@ade_asmaranti9571,0,2024-07-13 01:23:32,nonton ini sambil merinding liat begitu aamazingnya anak bangsa yang hebat² ini terimakasih ruang guru,positive
"Sambil nangis dari awal nonton, karena mikir kenapa aku gak sehebat mereka😢 aku pengen jadi mereka",@tahsigungreti8816,0,2024-07-15 12:27:42,sambil nangis dari awal nonton karena mikir kenapa aku tidak sehebat mereka aku pengen jadi mereka,negative
Harus tayang di televisi nasional acara gini jangaj sinetron aja..  teruskan dan no drama fighting...,@DevanWilliams-e8h,0,2024-06-30 04:04:43,harus tayang di televisi nasional acara gini jangaj sinetron aja teruskan dan no drama fighting,positive
Keren banget,@KingDoyokGame,1,2024-07-01 13:29:11,keren banget,positive
Merinding liat orang pada pinter2 bangetttt,@justbenggg_4965,0,2024-07-08 06:21:23,merinding liat orang pada pinter bangett,positive
Keren keren bgtttt😢,@raasunarsih5721,0,2024-07-01 13:27:22,keren keren bgtt,positive
Menyalaaaaaa,@rizqiauliazhafirah4109,0,2024-07-02 00:44:32,menyalaa,negative
sandy mana,@safazeny3070,0,2024-08-03 02:18:33,sandy mana,neutral
"Ga ikutan tapi ikut dedegan, bukan siapa-siapa mereka tapi bangga banget sama mereka",@nenkyulie3059,0,2024-07-05 03:00:43,tidak ikutan tapi ikut dedegan bukan siapa siapa mereka tapi bangga banget sama mereka,positive
kenapa ya perwakilan tiap universitas jumlah nya berbeda²? ada yg cuma 1 doang kek unand dan unhas,@syakiraputrirana7862,0,2024-06-29 15:34:33,kenapa ya perwakilan tiap universitas jumlah nya berbeda² ada yang cuma saja kek unand dan unhas,neutral
yesaya katanya gampang😭,@dipyvlog,0,2024-06-29 15:39:37,yesaya katanya gampang,negative
Masuk dsini aja tuh udh hebat.. walaupun gak lolos.. tpi kalian tetep panutan👏🏻,@Sakura-yk4zu,0,2024-07-02 09:16:27,masuk dsini saja tuh sudah hebat walaupun tidak lolos tapi kalian tetep panutan,positive
"Acara bermanfaat, mantap lah❤",@lusiapaQJR5LH,0,2024-06-30 03:29:43,acara bermanfaat mantap lah,positive
Pasti tim sandy ❤❤❤,@nirwasita5744,1,2024-07-13 22:45:28,pasti tim sandy,positive
OMGGGGG,@nnewarnai,0,2024-06-29 13:12:41,omgg,neutral
Para orang pintar saling adu iq 🔥🔥,@FrengkyYorgala,0,2024-06-29 11:32:37,para orang pintar saling adu iq,negative
banyakin acara kaya gini di indo,@febriparamitha1322,0,2024-06-30 07:04:45,banyakin acara kaya gini di indo,positive
jujungggg the best nihhh sukaa sukaaaa,@RaraadiliaHellma,0,2024-07-06 11:31:54,jujungg the best nihh sukaa sukaa,positive
semakin yakin kalau hidupku hanya npc yg jadi penyeimbang ekosistem 😊,@auliaasyisyifa3396,0,2024-06-30 02:37:05,semakin yakin kalau hidupku hanya npc yang jadi penyeimbang ekosistem,negative
pendukung Agasss huhu semogaa hasilnya mantep,@aurelychan9985,0,2024-06-29 13:58:43,pendukung agass huhu semogaa hasilnya mantep,positive
keren kerenn bangett 😭✨,@xi-mipa6_07_ayesaainurrokh5,0,2024-06-29 11:59:44,keren kerenn bangett,positive
Jujung<br>Besukung,@DirgaDirga-gi7lx,1,2025-01-22 11:17:00,jujungbesukung,neutral
"Sukanya liat acara gini, banyakin acara faedah begini❤❤",@nindyapuspaningtiyas9991,0,2024-07-04 11:54:45,sukanya liat acara gini banyakin acara faedah begini,positive
yg tantangan pertama udh berharap yg ugm matematika ipk 4 bisa langsung lolosssss,@NORRISKAOLIVIAKARINA,0,2024-07-02 11:01:38,yang tantangan pertama sudah berharap yang ugm matematika ipk bisa langsung loloss,negative
Keren.,@yoaaan,0,2024-06-29 12:13:44,keren,positive
"Kalo gw, soal pertama aja gw udah nangis kejer😭😂",@rizhakhan4895,0,2024-07-09 01:18:04,kalau gw soal pertama saja gw sudah nangis kejer,negative
mukanya muka orang pinter semuaaa😭,@adillyasaputri,0,2024-07-01 05:51:21,mukanya muka orang pinter semuaa,positive
"mungkin orang-orang yang jawab pertama bisa diwawancara gimana mereka ngerjainnya dan jawabannya ga dicepetin, biar audiens pun dapat ilmu/taktik mereka jawab challenge",@ellypurnama5834,241,2024-06-29 17:55:30,mungkin orang orang yang jawab pertama bisa diwawancara bagaimana mereka ngerjainnya dan jawabannya tidak dicepetin biar audiens pun dapat ilmu taktik mereka jawab challenge,neutral
Plss kalian makan apasihh kok pinter² bgtt😭😭😭,@zhrbgy,0,2024-06-30 01:33:27,plss kalian makan apasihh kok pinter² bgtt,negative
WOW TES PERTAMA TES KORAN 😂😂😂 lumayan ade2 buat latihan tes kerja nanti 😅,@iphonejkt,0,2024-06-29 16:19:18,wow tes pertama tes koran lumayan ade buat latihan tes kerja nanti,positive
Maaf om saya telat,@bambangsugiarto9234,0,2024-06-29 12:09:17,maaf om saya telat,neutral
semuanya keren2 tetap semangat,@nataliamonikawasso5751,0,2024-06-30 03:29:48,semuanya keren tetap semangat,positive
Kalian semua kerenn dan the bestt 🔥,@Didi-o4k,1,2024-06-30 03:18:35,kalian semua kerenn dan the bestt,positive
min saran tambahin sub eng dehn,@iniwawa,0,2024-07-02 17:25:57,min saran tambahin sub eng dehn,neutral
Pada makan apa ya anak2 ini pinter beut😊,@weninggalih7524,0,2024-07-05 06:22:13,pada makan apa ya anak ini pinter beut,negative
Tim org goblog bgt tpi suka org pinter😭,@NiaRtnsri,0,2024-07-12 19:56:35,tim orang goblog banget tapi suka orang pinter,positive
Nonton ini berasa remah remahan gak berharga😭😭😭,@alienmars1990,0,2024-07-04 02:48:49,nonton ini berasa remah remahan tidak berharga,negative
Otakku gakuattt😭,@ayaitsmi7667,0,2024-06-29 12:33:59,otakku gakuatt,neutral
kok imam.a mirip saputrakori ya,@aniskhoerunnisa9016,0,2024-08-07 10:39:18,kok imam a mirip saputrakori ya,neutral
"Ya Allah iri banget sama mereka, pengen kayak mereka",@dinacholifatulafifah3863,0,2024-07-01 06:15:50,ya allah iri banget sama mereka pengen seperti mereka,negative
"Ya allah ko bisa pinter bgt ya 😮 Tp skrg gw dpt cwo pinter smoga klo jadi nanti, anak gw ikut pinter juara di pendidikan walau emaknya gk pinter&quot; amat😂",@reree1434,0,2024-06-29 17:12:50,ya allah ko bisa pinter banget ya tapi sekarang gw dpt cwo pinter smoga kalau jadi nanti anak gw ikut pinter juara di pendidikan walau emaknya tidak pinter quot amat,negative
Keren bgt sumpahhh semuanyaaa😭❤🥰,@sadiahpermatasari3055,0,2024-06-29 15:44:46,keren banget sumpahh semuanyaa,positive
Kalau ada yang berani ngehujat AWAS!!!!!!!!,@marwamharz192,0,2024-06-30 10:10:04,kalau ada yang berani ngehujat awas,negative
"Ini beda ya sama university war korea, soalnya kl yg korea ga individu gt tp pergrup masing2 univ",@moonjinnie897,0,2024-06-29 15:53:00,ini beda ya sama university war korea soalnya kl yang korea tidak individu gt tapi pergrup masing univ,neutral
Kelazzzz,@Nashila-c8q,0,2024-06-30 04:49:20,kelazz,negative
Mirip the devils plan korea,@ummukhalid517,0,2024-07-01 01:56:35,mirip the devils plan korea,neutral
Yesaya said: Gampangan 😭 tapi untung dia lolos ronde 3 nya,@isnanihalimah,0,2024-07-25 09:46:23,yesaya said gampangan tapi untung dia lolos ronde nya,positive
menyalaaaa🔥🔥🔥🔥,@sahrilnurrahman1968,0,2024-06-30 15:51:33,menyalaa,negative
MAXWELL WKWK KERASA BGT DEG DEGANNYA &quot;yaallah iki yoopoooo&quot; 😭😭😭,@nyrmana,1,2024-06-29 15:17:23,maxwell wkwk kerasa banget deg degannya quot yaallah iki yoopoo quot,positive
klau dilanjutin ini tlong juara ini diadu dg mahasiswa anggota asean,@mahfutpati4542,1,2024-07-15 17:25:54,klau dilanjutin ini tlong juara ini diadu dg mahasiswa anggota asean,positive
Seru bangett❤,@anarj2999,0,2024-07-03 07:48:34,seru bangett,positive
Keren parah program ini,@yuuushinazugawa6956,0,2024-07-15 03:07:16,keren parah program ini,positive
"&quot;Ya ampun, iki yo opo&quot; 😭🤣",@user-oi6ig4ik3c,0,2024-06-29 12:26:31,quot ya ampun iki yo opo quot,negative
keren2 ayoo ep selanjutny,@hanastefanny5351,0,2024-07-02 10:04:37,keren ayoo ep selanjutny,positive
Dari dulu kek bikin acara gini.,@linalie3224,0,2024-07-19 07:01:53,dari dulu kek bikin acara gini,negative
"pengen ngerasain gimana caranya buat nyelesain soalnya jugaaaaa, lain kali dilamain ya kasih liat soalnya + kasih tau secara detail gimana cara pengerjaannya, biar kita kita yang dirumah juga bisa ikut ngerjain😭😭😭kan lumayan hiburan sekaligus belajar",@Najla_purtika,1,2024-06-30 02:13:20,pengen ngerasain bagaimana caranya buat nyelesain soalnya jugaa lain kali dilamain ya kasih liat soalnya kasih tau secara detail bagaimana cara pengerjaannya biar kita kita yang dirumah juga bisa ikut ngerjain kan lumayan hiburan sekaligus belajar,neutral
Habis nonton ini : “bjir aku 16 tahun sekolah ngapain aja ya?”,@Rafoshpcy,1,2024-06-30 05:43:13,habis nonton ini bjir aku tahun sekolah ngapain saja ya,negative
Insecure sesungguhnya,@SamsungUtama-r6k,0,2024-07-16 02:04:01,insecure sesungguhnya,negative
Upp viralin guys!!!!,@khonsashasya09,0,2024-07-05 05:31:59,upp viralin guys,positive
KOK MALEEMMMM,@za-qf5xb,1,2024-06-29 02:15:24,kok maleemm,negative
"keren sih ini, harus viral...<br>Indonesia byk orang pintar tp jarang tersorot, dan ini bagus banget buat ngangkat mereka juga dan jadi inspirasi buat kita juga<br>Keren bangeettttt❤❤",@kanamimeliani,1,2024-07-03 06:57:12,keren sih ini harus viral indonesia banyak orang pintar tapi jarang tersorot dan ini bagus banget buat ngangkat mereka juga dan jadi inspirasi buat kita jugakeren bangeett,positive
"Gua nangis pas dateng kompetitor baru, kaya gmna yah   rasanya masuk univ tsb🥹",@09hhhjbGgucygxdt-dn6lq,1,2024-07-07 15:18:02,gua nangis pas dateng kompetitor baru kaya gmna yah rasanya masuk univ tsb,negative
Seru nih.. Ky yg wincuk orincuk ituuuu<br>Pinter² bgt ^^,@diahayumawarnii,0,2024-07-07 11:35:05,seru nih ky yang wincuk orincuk ituupinter² banget,positive
"Bnyak bngett ya, kirain per univ mahasiswanya ditentuin berapa bnyaknya ternyata bebas ya, keren bnget pliss mereka😭",@jeonjungkookie8027,0,2024-06-29 15:09:57,bnyak bngett ya kirain per univ mahasiswanya ditentuin berapa bnyaknya ternyata bebas ya keren bnget pliss mereka,positive
Kereeen,@Cookingcollectionofficial,0,2024-07-08 09:59:00,kereen,positive
Emak2 yg pengen banget anaknya pinter spt peserta2 di game ini,@pipitfitrahamalia,0,2024-07-13 09:44:49,emak yang pengen banget anaknya pinter spt peserta di game ini,positive
Ini kegiatan yg positif buat para mahasiswa  daripada BERDEMO😊 mending tanding begini otak makin encer !,@momsadventure3222,0,2024-07-03 15:38:50,ini kegiatan yang positif buat para mahasiswa daripada berdemo mending tanding begini otak makin encer,positive
Yossi gpa nya  ga ada ?,@KekeIndahmaya,0,2024-06-30 08:47:28,yossi gpa nya tidak ada,negative
Mahasiswa indo keren keren bgt sumpah iri bgt ???,@theflowerharuto,0,2024-06-30 11:10:41,mahasiswa indo keren keren banget sumpah iri banget,positive
orang2 kok keren2 yahhh ❤😢,@tarisafitriani8065,0,2024-07-12 00:37:56,orang kok keren yahh,positive
"Acaranya bagus terus seru juga, aku kira acara pelajaran kayak gini tuh bikin boring ternyata enggak, ikutan deg2an padahal cuma nonton doang, wakakaka padahal ngak ikutan mikir juga😭 kalian yang tergabung diacara ini keren banget apalagi yang ada dibalik layar❤",@deen09,0,2024-06-30 13:26:25,acaranya bagus terus seru juga aku kira acara pelajaran seperti gini tuh bikin boring ternyata enggak ikutan degan padahal cuma nonton doang wakakaka padahal ngak ikutan mikir juga kalian yang tergabung diacara ini keren banget apalagi yang ada dibalik layar,positive
Ga nyangka ada kaist sama Oxford,@Soundofila,0,2024-06-29 13:28:35,tidak nyangka ada kaist sama oxford,neutral
"Wahh kerenn so excited, 😍😍😍😍",@saripuspitahandayani615,0,2024-06-29 11:32:03,wahh kerenn so excited,positive
Ini langsung upload atau live streaming,@dhea9922,0,2024-06-29 10:51:16,ini langsung upload atau live streaming,neutral
baru sadar ada kevin,@bubblywonu,0,2024-07-13 07:02:35,baru sadar ada kevin,neutral
"Plissss la ini mah,tontonan yg sangat bermutu nih boss.seru banget!",@Kishine9,0,2024-07-06 23:09:13,pliss la ini mah tontonan yang sangat bermutu nih boss seru banget,positive
"Seru banget, meskipun aku gak pinter 😂",@nuristhifaiyatunnisa5638,0,2024-07-03 06:47:31,seru banget meskipun aku tidak pinter,positive
Gilakkkk pinter bet cok,@effendiarif8066,0,2024-07-01 11:41:27,gilakk pinter bet cok,positive
malah salfok sama set podium nya ringkih bgt min hancur2 gitu jadi gampang ke distract sama serpihan2 putihnya pas nonton,@yofihendrawan926,0,2024-07-07 01:31:20,malah salfok sama set podium nya ringkih banget min hancur gitu jadi gampang ke distract sama serpihan putihnya pas nonton,negative
"Dan ternyata benar kata alfie,, UI jadi pemenangnya...",@sartikaika2993,0,2024-08-20 02:30:55,dan ternyata benar kata alfie ui jadi pemenangnya,positive
"Berasa orng yg bodoh setelah nonton ini🥲, mereka hebat banget",@mutiaamelinda7060,0,2024-06-30 03:59:25,berasa orng yang bodoh setelah nonton ini mereka hebat banget,negative
"unhass masuk dong, bangga banget",@afika234-f9j,0,2024-10-14 16:03:07,unhass masuk dong bangga banget,positive
Suka banget nonton ginian,@lalilies8486,0,2024-06-30 05:57:03,suka banget nonton ginian,positive
"Kalian yg gak lolos, kalian tetap keren❤",@karmellia715,1,2024-07-08 16:40:40,kalian yang tidak lolos kalian tetap keren,positive
"<a href=""https://www.youtube.com/watch?v=dY_3acmFFRQ&amp;t=1148"">19:08</a> tangannya beda sendiri kaya mau berdoa😭😭😭😭😭",@cupiorusty,1,2024-07-01 17:06:04,a href tangannya beda sendiri kaya mau berdoa,negative
"MESKIPUN TELAT NONTONNYA AKU MAU BILANG TOLONG JANGAN DI SKIP/DI PERCEPAT WAKTU PESERTA YG LOLOS NGEJELASIN CARANYA. <br>GAUSAH MIKIRIN DURASI KEPANJANGAN, AKU TONTON MESKIPUN 3 JAM 5 JAM. KUOTA KU BANYAK INI LOH. TAYANGAN MENARIK GINI JANGAN STENGAH2.",@kamerapublik00,0,2024-07-10 04:43:02,meskipun telat nontonnya aku mau bilang tolong jangan di skip di percepat waktu peserta yang lolos ngejelasin caranya gausah mikirin durasi kepanjangan aku tonton meskipun jam jam kuota ku banyak ini loh tayangan menarik gini jangan stengah,positive
Plisss lanjut,@FatimahAzzahra-wz3ey,0,2024-06-30 08:07:24,pliss lanjut,neutral
Nonton eps 3 sampai selessi dimana?,@umaysuniar7249,1,2024-07-05 09:25:42,nonton eps sampai selessi dimana,neutral
Kembali nonton dari awal karena blm bisa moveon😂,@NoviEka27,1,2024-08-27 10:28:05,kembali nonton dari awal karena belum bisa moveon,negative
"Untuk aku yang suka banget tantangan dan kompetisi, ini sih akan jd tontonan rutin wkwk🎉😂❤",@rosadi2077,0,2024-06-29 13:04:50,untuk aku yang suka banget tantangan dan kompetisi ini sih akan jd tontonan rutin wkwk,positive
"Yayaaa dari psikologii heuu, angkaa bukan makanan u sehari2. Mentok2 matkul psikometri, kuantitatif gitu2 doang kan 😢 tp u keren bangetttss❤❤❤",@iitwakhidah2701,0,2024-07-02 16:09:14,yayaa dari psikologii heuu angkaa bukan makanan u sehari mentok matkul psikometri kuantitatif gitu saja kan tapi u keren bangettss,positive
"Mirip acara yg dikorea gk sih,, yg kemaren sempat viral. Kampus SNU ngalahin mahasiswa/i dari harvard",@junizarmendra8362,0,2024-07-01 07:02:46,mirip acara yang dikorea tidak sih yang kemaren sempat viral kampus snu ngalahin mahasiswa i dari harvard,neutral
masya Allah keren bangettttttt❤❤ sepanjang nonton merinding abiss❤,@nofimustikasari5543,0,2024-06-30 01:41:59,masya allah keren bangett sepanjang nonton merinding abiss,positive
university war korea versi Indo nihh.. 👍,@Kml123-n4d,0,2024-06-30 02:25:37,university war korea versi indo nihh,neutral
Tim yg gk ada tim,@RusLi-v1d,0,2024-09-05 00:16:49,tim yang tidak ada tim,negative
Intronya serasa nonton donghua❤,@Bjjgvnk,2,2024-07-03 05:37:42,intronya serasa nonton donghua,neutral
GILAAAAKKKK,@davinImanuel,0,2024-06-29 16:20:09,gilaakk,positive
Ku baru sadar kalau yg di Korea itu  lebih ke challenge strategi njir univ nya beneran bagus,@lunalacandele7533,2,2024-07-01 14:09:53,ku baru sadar kalau yang di korea itu lebih ke challenge strategi njir univ nya beneran bagus,positive
Yang nonton ikutan pusing gak sih ? apa aku doang nih padahal gak ikut mikir 😂,@riskaapriani7864,0,2024-06-30 03:51:59,yang nonton ikutan pusing tidak sih apa aku saja nih padahal tidak ikut mikir,negative
Maxwell km lucu 😂😂,@PUTRIFARIHATUZZAIDA,0,2024-07-01 23:56:22,maxwell km lucu,positive
UPI teu aya?,@akbarrizkiramadhan3810,0,2024-06-29 14:41:01,upi teu aya,negative
Sangat memotivasi saya,@Isa-mm5xr,0,2024-06-30 01:40:35,sangat memotivasi saya,positive
"Ko bisa bisanya pas mereka kasi tau cara penyelesaian malah di percepat sama editornya, acara cerdas cermat tapi editor nya agak agak😴😴",@FriskaDayanti,0,2024-07-06 09:57:57,ko bisa bisanya pas mereka kasi tau cara penyelesaian malah di percepat sama editornya acara cerdas cermat tapi editor nya agak agak,negative
Anak uin satu2nya wow,@saipullohlubis8612,0,2024-07-08 11:51:54,anak uin satunya wow,positive
"Saya nonton sampai habis, meski sedikitpun saya tidak mengerti apa yang mereka ributkan. Ternyata begini ya kalau anak-anak pintar tawuran... Keren Ruang Guru!!",@fauzanmukrim,1,2024-07-06 06:45:29,saya nonton sampai habis meski sedikitpun saya tidak mengerti apa yang mereka ributkan ternyata begini ya kalau anak anak pintar tawuran keren ruang guru,neutral
SERU BGGTTTTT,@Sfnhannisa18,0,2024-06-30 06:28:47,seru bggtt,positive
"Beuhh. . jd inget University War... Mreka yg d kejar waktu, ngejar poin... gw yg muter2 deg2an😅",@thasyaandinmelodyof7,0,2024-07-03 14:18:59,beuhh jd inget university war mreka yang d kejar waktu ngejar poin gw yang muter degan,negative
produser,@PanjiAnggara-w3j,0,2024-11-25 12:32:58,produser,neutral
Lucu banget medoknya Maxwell 🤏😆,@RahmawatiIstianingRahayu,1,2024-06-29 18:05:24,lucu banget medoknya maxwell,positive
kesini gara gara nonton maxwell core WKSKWKKSKS 😭😭,@carmeliarosa3583,0,2024-06-30 00:19:36,kesini gara gara nonton maxwell core wkskwkksks,positive
Butuh eps khusus nihh buat bahas soalnya secara lengkap,@sitimaulidasyadiah,0,2024-06-30 04:39:26,butuh eps khusus nihh buat bahas soalnya secara lengkap,neutral
Segerrr liat orang2 pinter gini,@mifta_alkarim12,0,2024-07-08 06:41:42,segerr liat orang pinter gini,positive
Yesaya belagu,@Korizen_ziiii,0,2024-10-25 15:05:14,yesaya belagu,negative
Blm mulai aja liat ipk mereka diatas rata rata aja dah merinding njir😢,@athalifasatria2629,1,2024-06-30 03:20:10,belum mulai saja liat ipk mereka diatas rata rata saja dah merinding njir,negative
"Demen bgt logat suroboyoan e Maxwell, wajahe chindo tp medhok pol hahaha<br>Tolong sering² diinterview wkwkwk",@nisaulfa1652,2,2024-07-06 12:11:13,demen banget logat suroboyoan e maxwell wajahe chindo tapi medhok pol hahahatolong sering² diinterview wkwkwk,positive
hah? &quot;lebih gampang&quot;? gua aja liat soalnya langsung reflek hah,@sitiumayah9001,0,2024-07-06 19:17:27,hah quot lebih gampang quot gua saja liat soalnya langsung reflek hah,neutral
Nnnk😅in😅. Nnkj.    😅,@artini241,0,2024-07-21 18:59:30,nnk in nnkj,neutral
Apalah dayaku yg bodoh ngitung 😭,@SatinaTina-g9v,1,2024-07-01 11:22:53,apalah dayaku yang bodoh ngitung,negative
