textDisplay,authorDisplayName,likeCount,publishedAt,clean_text,sentiment_gold,sentiment_active,confidence
Keren banget ada anak UIN masuk,@iniaenii_id,0,2024-07-13 05:39:59,keren banget ada anak uin masuk,positive,positive,1.0
insecure sesungguhnya😭,@jihanyasir9181,1,2024-07-04 11:59:21,insecure sesungguhnya,negative,negative,1.0
"wah seru banget, nggak sabar menunggu episode 2 😍",@nindiwulandari5391,0,2024-06-30 05:44:43,wah seru banget tidak sabar menunggu episode,positive,positive,1.0
sering² buat event ky gini yakk..,@racuncantikkk,0,2024-07-05 09:19:19,sering² buat event ky gini yakk,positive,positive,1.0
"plisss merinding dri awal smpe akhirr😣, KERENN SEMUAANYAA🫶🏻🫶🏻🫶🏻🫶🏻",@aureliavira2005,0,2024-06-30 09:03:13,pliss merinding dari awal smpe akhirr kerenn semuaanyaa,positive,positive,1.0
Tapi salfok sama yang juara 1 ruang guru koq gk berhasil ya,@desiyy99,0,2024-08-18 07:01:50,tapi salfok sama yang juara ruang guru koq tidak berhasil ya,negative,negative,1.0
Mantap,@umrialwi1541,0,2024-06-30 06:38:33,mantap,positive,positive,1.0
Acara keren ini harus di viralkan dan di biayain trus kalau bisa per sisen trus ini,@BayuBudbud212,0,2024-07-05 14:59:50,acara keren ini harus di viralkan dan di biayain trus kalau bisa per sisen trus ini,positive,positive,1.0
"<a href=""https://www.youtube.com/watch?v=dY_3acmFFRQ&amp;t=1307"">21:47</a> EDITORNYA NGESELINNN",@Maruais,1,2024-07-01 11:25:10,a href editornya ngeselinn,negative,negative,1.0
"Nonton ini, sambil merinding, liat begitu aAMAZINGnya anak bangsa yang hebat² ini...Terimakasih RUANG GURU",@ade_asmaranti9571,0,2024-07-13 01:23:32,nonton ini sambil merinding liat begitu aamazingnya anak bangsa yang hebat² ini terimakasih ruang guru,positive,positive,1.0
"Sambil nangis dari awal nonton, karena mikir kenapa aku gak sehebat mereka😢 aku pengen jadi mereka",@tahsigungreti8816,0,2024-07-15 12:27:42,sambil nangis dari awal nonton karena mikir kenapa aku tidak sehebat mereka aku pengen jadi mereka,negative,negative,1.0
Harus tayang di televisi nasional acara gini jangaj sinetron aja..  teruskan dan no drama fighting...,@DevanWilliams-e8h,0,2024-06-30 04:04:43,harus tayang di televisi nasional acara gini jangaj sinetron aja teruskan dan no drama fighting,positive,positive,1.0
Keren banget,@KingDoyokGame,1,2024-07-01 13:29:11,keren banget,positive,positive,1.0
Merinding liat orang pada pinter2 bangetttt,@justbenggg_4965,0,2024-07-08 06:21:23,merinding liat orang pada pinter bangett,positive,positive,1.0
Keren keren bgtttt😢,@raasunarsih5721,0,2024-07-01 13:27:22,keren keren bgtt,positive,positive,1.0
Menyalaaaaaa,@rizqiauliazhafirah4109,0,2024-07-02 00:44:32,menyalaa,negative,negative,1.0
sandy mana,@safazeny3070,0,2024-08-03 02:18:33,sandy mana,neutral,neutral,1.0
"Ga ikutan tapi ikut dedegan, bukan siapa-siapa mereka tapi bangga banget sama mereka",@nenkyulie3059,0,2024-07-05 03:00:43,tidak ikutan tapi ikut dedegan bukan siapa siapa mereka tapi bangga banget sama mereka,positive,positive,1.0
kenapa ya perwakilan tiap universitas jumlah nya berbeda²? ada yg cuma 1 doang kek unand dan unhas,@syakiraputrirana7862,0,2024-06-29 15:34:33,kenapa ya perwakilan tiap universitas jumlah nya berbeda² ada yang cuma saja kek unand dan unhas,neutral,neutral,1.0
yesaya katanya gampang😭,@dipyvlog,0,2024-06-29 15:39:37,yesaya katanya gampang,negative,negative,1.0
Masuk dsini aja tuh udh hebat.. walaupun gak lolos.. tpi kalian tetep panutan👏🏻,@Sakura-yk4zu,0,2024-07-02 09:16:27,masuk dsini saja tuh sudah hebat walaupun tidak lolos tapi kalian tetep panutan,positive,positive,1.0
"Acara bermanfaat, mantap lah❤",@lusiapaQJR5LH,0,2024-06-30 03:29:43,acara bermanfaat mantap lah,positive,positive,1.0
Pasti tim sandy ❤❤❤,@nirwasita5744,1,2024-07-13 22:45:28,pasti tim sandy,positive,positive,1.0
OMGGGGG,@nnewarnai,0,2024-06-29 13:12:41,omgg,neutral,neutral,1.0
Para orang pintar saling adu iq 🔥🔥,@FrengkyYorgala,0,2024-06-29 11:32:37,para orang pintar saling adu iq,negative,negative,1.0
banyakin acara kaya gini di indo,@febriparamitha1322,0,2024-06-30 07:04:45,banyakin acara kaya gini di indo,positive,positive,1.0
jujungggg the best nihhh sukaa sukaaaa,@RaraadiliaHellma,0,2024-07-06 11:31:54,jujungg the best nihh sukaa sukaa,positive,positive,1.0
semakin yakin kalau hidupku hanya npc yg jadi penyeimbang ekosistem 😊,@auliaasyisyifa3396,0,2024-06-30 02:37:05,semakin yakin kalau hidupku hanya npc yang jadi penyeimbang ekosistem,negative,negative,1.0
pendukung Agasss huhu semogaa hasilnya mantep,@aurelychan9985,0,2024-06-29 13:58:43,pendukung agass huhu semogaa hasilnya mantep,positive,positive,1.0
keren kerenn bangett 😭✨,@xi-mipa6_07_ayesaainurrokh5,0,2024-06-29 11:59:44,keren kerenn bangett,positive,positive,1.0
Jujung<br>Besukung,@DirgaDirga-gi7lx,1,2025-01-22 11:17:00,jujungbesukung,neutral,neutral,1.0
"Sukanya liat acara gini, banyakin acara faedah begini❤❤",@nindyapuspaningtiyas9991,0,2024-07-04 11:54:45,sukanya liat acara gini banyakin acara faedah begini,positive,positive,1.0
yg tantangan pertama udh berharap yg ugm matematika ipk 4 bisa langsung lolosssss,@NORRISKAOLIVIAKARINA,0,2024-07-02 11:01:38,yang tantangan pertama sudah berharap yang ugm matematika ipk bisa langsung loloss,negative,negative,1.0
Keren.,@yoaaan,0,2024-06-29 12:13:44,keren,positive,positive,1.0
"Kalo gw, soal pertama aja gw udah nangis kejer😭😂",@rizhakhan4895,0,2024-07-09 01:18:04,kalau gw soal pertama saja gw sudah nangis kejer,negative,negative,1.0
mukanya muka orang pinter semuaaa😭,@adillyasaputri,0,2024-07-01 05:51:21,mukanya muka orang pinter semuaa,positive,positive,1.0
"mungkin orang-orang yang jawab pertama bisa diwawancara gimana mereka ngerjainnya dan jawabannya ga dicepetin, biar audiens pun dapat ilmu/taktik mereka jawab challenge",@ellypurnama5834,241,2024-06-29 17:55:30,mungkin orang orang yang jawab pertama bisa diwawancara bagaimana mereka ngerjainnya dan jawabannya tidak dicepetin biar audiens pun dapat ilmu taktik mereka jawab challenge,neutral,neutral,1.0
Plss kalian makan apasihh kok pinter² bgtt😭😭😭,@zhrbgy,0,2024-06-30 01:33:27,plss kalian makan apasihh kok pinter² bgtt,negative,negative,1.0
WOW TES PERTAMA TES KORAN 😂😂😂 lumayan ade2 buat latihan tes kerja nanti 😅,@iphonejkt,0,2024-06-29 16:19:18,wow tes pertama tes koran lumayan ade buat latihan tes kerja nanti,positive,positive,1.0
Maaf om saya telat,@bambangsugiarto9234,0,2024-06-29 12:09:17,maaf om saya telat,neutral,neutral,1.0
semuanya keren2 tetap semangat,@nataliamonikawasso5751,0,2024-06-30 03:29:48,semuanya keren tetap semangat,positive,positive,1.0
Kalian semua kerenn dan the bestt 🔥,@Didi-o4k,1,2024-06-30 03:18:35,kalian semua kerenn dan the bestt,positive,positive,1.0
min saran tambahin sub eng dehn,@iniwawa,0,2024-07-02 17:25:57,min saran tambahin sub eng dehn,neutral,neutral,1.0
Pada makan apa ya anak2 ini pinter beut😊,@weninggalih7524,0,2024-07-05 06:22:13,pada makan apa ya anak ini pinter beut,negative,negative,1.0
Tim org goblog bgt tpi suka org pinter😭,@NiaRtnsri,0,2024-07-12 19:56:35,tim orang goblog banget tapi suka orang pinter,positive,positive,1.0
Nonton ini berasa remah remahan gak berharga😭😭😭,@alienmars1990,0,2024-07-04 02:48:49,nonton ini berasa remah remahan tidak berharga,negative,negative,1.0
Otakku gakuattt😭,@ayaitsmi7667,0,2024-06-29 12:33:59,otakku gakuatt,neutral,neutral,1.0
kok imam.a mirip saputrakori ya,@aniskhoerunnisa9016,0,2024-08-07 10:39:18,kok imam a mirip saputrakori ya,neutral,neutral,1.0
"Ya Allah iri banget sama mereka, pengen kayak mereka",@dinacholifatulafifah3863,0,2024-07-01 06:15:50,ya allah iri banget sama mereka pengen seperti mereka,negative,negative,1.0
"Ya allah ko bisa pinter bgt ya 😮 Tp skrg gw dpt cwo pinter smoga klo jadi nanti, anak gw ikut pinter juara di pendidikan walau emaknya gk pinter&quot; amat😂",@reree1434,0,2024-06-29 17:12:50,ya allah ko bisa pinter banget ya tapi sekarang gw dpt cwo pinter smoga kalau jadi nanti anak gw ikut pinter juara di pendidikan walau emaknya tidak pinter quot amat,negative,negative,1.0
Keren bgt sumpahhh semuanyaaa😭❤🥰,@sadiahpermatasari3055,0,2024-06-29 15:44:46,keren banget sumpahh semuanyaa,positive,positive,1.0
Kalau ada yang berani ngehujat AWAS!!!!!!!!,@marwamharz192,0,2024-06-30 10:10:04,kalau ada yang berani ngehujat awas,negative,negative,1.0
"Ini beda ya sama university war korea, soalnya kl yg korea ga individu gt tp pergrup masing2 univ",@moonjinnie897,0,2024-06-29 15:53:00,ini beda ya sama university war korea soalnya kl yang korea tidak individu gt tapi pergrup masing univ,neutral,neutral,1.0
Kelazzzz,@Nashila-c8q,0,2024-06-30 04:49:20,kelazz,negative,negative,1.0
Mirip the devils plan korea,@ummukhalid517,0,2024-07-01 01:56:35,mirip the devils plan korea,neutral,neutral,1.0
Yesaya said: Gampangan 😭 tapi untung dia lolos ronde 3 nya,@isnanihalimah,0,2024-07-25 09:46:23,yesaya said gampangan tapi untung dia lolos ronde nya,positive,positive,1.0
menyalaaaa🔥🔥🔥🔥,@sahrilnurrahman1968,0,2024-06-30 15:51:33,menyalaa,negative,negative,1.0
MAXWELL WKWK KERASA BGT DEG DEGANNYA &quot;yaallah iki yoopoooo&quot; 😭😭😭,@nyrmana,1,2024-06-29 15:17:23,maxwell wkwk kerasa banget deg degannya quot yaallah iki yoopoo quot,positive,positive,1.0
klau dilanjutin ini tlong juara ini diadu dg mahasiswa anggota asean,@mahfutpati4542,1,2024-07-15 17:25:54,klau dilanjutin ini tlong juara ini diadu dg mahasiswa anggota asean,positive,positive,1.0
Seru bangett❤,@anarj2999,0,2024-07-03 07:48:34,seru bangett,positive,positive,1.0
Keren parah program ini,@yuuushinazugawa6956,0,2024-07-15 03:07:16,keren parah program ini,positive,positive,1.0
"&quot;Ya ampun, iki yo opo&quot; 😭🤣",@user-oi6ig4ik3c,0,2024-06-29 12:26:31,quot ya ampun iki yo opo quot,negative,negative,1.0
keren2 ayoo ep selanjutny,@hanastefanny5351,0,2024-07-02 10:04:37,keren ayoo ep selanjutny,positive,positive,1.0
Dari dulu kek bikin acara gini.,@linalie3224,0,2024-07-19 07:01:53,dari dulu kek bikin acara gini,negative,negative,1.0
"pengen ngerasain gimana caranya buat nyelesain soalnya jugaaaaa, lain kali dilamain ya kasih liat soalnya + kasih tau secara detail gimana cara pengerjaannya, biar kita kita yang dirumah juga bisa ikut ngerjain😭😭😭kan lumayan hiburan sekaligus belajar",@Najla_purtika,1,2024-06-30 02:13:20,pengen ngerasain bagaimana caranya buat nyelesain soalnya jugaa lain kali dilamain ya kasih liat soalnya kasih tau secara detail bagaimana cara pengerjaannya biar kita kita yang dirumah juga bisa ikut ngerjain kan lumayan hiburan sekaligus belajar,neutral,neutral,1.0
Habis nonton ini : “bjir aku 16 tahun sekolah ngapain aja ya?”,@Rafoshpcy,1,2024-06-30 05:43:13,habis nonton ini bjir aku tahun sekolah ngapain saja ya,negative,negative,1.0
Insecure sesungguhnya,@SamsungUtama-r6k,0,2024-07-16 02:04:01,insecure sesungguhnya,negative,negative,1.0
Upp viralin guys!!!!,@khonsashasya09,0,2024-07-05 05:31:59,upp viralin guys,positive,positive,1.0
KOK MALEEMMMM,@za-qf5xb,1,2024-06-29 02:15:24,kok maleemm,negative,negative,1.0
"keren sih ini, harus viral...<br>Indonesia byk orang pintar tp jarang tersorot, dan ini bagus banget buat ngangkat mereka juga dan jadi inspirasi buat kita juga<br>Keren bangeettttt❤❤",@kanamimeliani,1,2024-07-03 06:57:12,keren sih ini harus viral indonesia banyak orang pintar tapi jarang tersorot dan ini bagus banget buat ngangkat mereka juga dan jadi inspirasi buat kita jugakeren bangeett,positive,positive,1.0
"Gua nangis pas dateng kompetitor baru, kaya gmna yah   rasanya masuk univ tsb🥹",@09hhhjbGgucygxdt-dn6lq,1,2024-07-07 15:18:02,gua nangis pas dateng kompetitor baru kaya gmna yah rasanya masuk univ tsb,negative,negative,1.0
Seru nih.. Ky yg wincuk orincuk ituuuu<br>Pinter² bgt ^^,@diahayumawarnii,0,2024-07-07 11:35:05,seru nih ky yang wincuk orincuk ituupinter² banget,positive,positive,1.0
"Bnyak bngett ya, kirain per univ mahasiswanya ditentuin berapa bnyaknya ternyata bebas ya, keren bnget pliss mereka😭",@jeonjungkookie8027,0,2024-06-29 15:09:57,bnyak bngett ya kirain per univ mahasiswanya ditentuin berapa bnyaknya ternyata bebas ya keren bnget pliss mereka,positive,positive,1.0
Kereeen,@Cookingcollectionofficial,0,2024-07-08 09:59:00,kereen,positive,positive,1.0
Emak2 yg pengen banget anaknya pinter spt peserta2 di game ini,@pipitfitrahamalia,0,2024-07-13 09:44:49,emak yang pengen banget anaknya pinter spt peserta di game ini,positive,positive,1.0
Ini kegiatan yg positif buat para mahasiswa  daripada BERDEMO😊 mending tanding begini otak makin encer !,@momsadventure3222,0,2024-07-03 15:38:50,ini kegiatan yang positif buat para mahasiswa daripada berdemo mending tanding begini otak makin encer,positive,positive,1.0
Yossi gpa nya  ga ada ?,@KekeIndahmaya,0,2024-06-30 08:47:28,yossi gpa nya tidak ada,negative,negative,1.0
Mahasiswa indo keren keren bgt sumpah iri bgt ???,@theflowerharuto,0,2024-06-30 11:10:41,mahasiswa indo keren keren banget sumpah iri banget,positive,positive,1.0
orang2 kok keren2 yahhh ❤😢,@tarisafitriani8065,0,2024-07-12 00:37:56,orang kok keren yahh,positive,positive,1.0
"Acaranya bagus terus seru juga, aku kira acara pelajaran kayak gini tuh bikin boring ternyata enggak, ikutan deg2an padahal cuma nonton doang, wakakaka padahal ngak ikutan mikir juga😭 kalian yang tergabung diacara ini keren banget apalagi yang ada dibalik layar❤",@deen09,0,2024-06-30 13:26:25,acaranya bagus terus seru juga aku kira acara pelajaran seperti gini tuh bikin boring ternyata enggak ikutan degan padahal cuma nonton doang wakakaka padahal ngak ikutan mikir juga kalian yang tergabung diacara ini keren banget apalagi yang ada dibalik layar,positive,positive,1.0
Ga nyangka ada kaist sama Oxford,@Soundofila,0,2024-06-29 13:28:35,tidak nyangka ada kaist sama oxford,neutral,neutral,1.0
"Wahh kerenn so excited, 😍😍😍😍",@saripuspitahandayani615,0,2024-06-29 11:32:03,wahh kerenn so excited,positive,positive,1.0
Ini langsung upload atau live streaming,@dhea9922,0,2024-06-29 10:51:16,ini langsung upload atau live streaming,neutral,neutral,1.0
baru sadar ada kevin,@bubblywonu,0,2024-07-13 07:02:35,baru sadar ada kevin,neutral,neutral,1.0
"Plissss la ini mah,tontonan yg sangat bermutu nih boss.seru banget!",@Kishine9,0,2024-07-06 23:09:13,pliss la ini mah tontonan yang sangat bermutu nih boss seru banget,positive,positive,1.0
"Seru banget, meskipun aku gak pinter 😂",@nuristhifaiyatunnisa5638,0,2024-07-03 06:47:31,seru banget meskipun aku tidak pinter,positive,positive,1.0
Gilakkkk pinter bet cok,@effendiarif8066,0,2024-07-01 11:41:27,gilakk pinter bet cok,positive,positive,1.0
malah salfok sama set podium nya ringkih bgt min hancur2 gitu jadi gampang ke distract sama serpihan2 putihnya pas nonton,@yofihendrawan926,0,2024-07-07 01:31:20,malah salfok sama set podium nya ringkih banget min hancur gitu jadi gampang ke distract sama serpihan putihnya pas nonton,negative,negative,1.0
"Dan ternyata benar kata alfie,, UI jadi pemenangnya...",@sartikaika2993,0,2024-08-20 02:30:55,dan ternyata benar kata alfie ui jadi pemenangnya,positive,positive,1.0
"Berasa orng yg bodoh setelah nonton ini🥲, mereka hebat banget",@mutiaamelinda7060,0,2024-06-30 03:59:25,berasa orng yang bodoh setelah nonton ini mereka hebat banget,negative,negative,1.0
"unhass masuk dong, bangga banget",@afika234-f9j,0,2024-10-14 16:03:07,unhass masuk dong bangga banget,positive,positive,1.0
Suka banget nonton ginian,@lalilies8486,0,2024-06-30 05:57:03,suka banget nonton ginian,positive,positive,1.0
"Kalian yg gak lolos, kalian tetap keren❤",@karmellia715,1,2024-07-08 16:40:40,kalian yang tidak lolos kalian tetap keren,positive,positive,1.0
"<a href=""https://www.youtube.com/watch?v=dY_3acmFFRQ&amp;t=1148"">19:08</a> tangannya beda sendiri kaya mau berdoa😭😭😭😭😭",@cupiorusty,1,2024-07-01 17:06:04,a href tangannya beda sendiri kaya mau berdoa,negative,negative,1.0
"MESKIPUN TELAT NONTONNYA AKU MAU BILANG TOLONG JANGAN DI SKIP/DI PERCEPAT WAKTU PESERTA YG LOLOS NGEJELASIN CARANYA. <br>GAUSAH MIKIRIN DURASI KEPANJANGAN, AKU TONTON MESKIPUN 3 JAM 5 JAM. KUOTA KU BANYAK INI LOH. TAYANGAN MENARIK GINI JANGAN STENGAH2.",@kamerapublik00,0,2024-07-10 04:43:02,meskipun telat nontonnya aku mau bilang tolong jangan di skip di percepat waktu peserta yang lolos ngejelasin caranya gausah mikirin durasi kepanjangan aku tonton meskipun jam jam kuota ku banyak ini loh tayangan menarik gini jangan stengah,positive,positive,1.0
Plisss lanjut,@FatimahAzzahra-wz3ey,0,2024-06-30 08:07:24,pliss lanjut,neutral,neutral,1.0
Nonton eps 3 sampai selessi dimana?,@umaysuniar7249,1,2024-07-05 09:25:42,nonton eps sampai selessi dimana,neutral,neutral,1.0
Kembali nonton dari awal karena blm bisa moveon😂,@NoviEka27,1,2024-08-27 10:28:05,kembali nonton dari awal karena belum bisa moveon,negative,negative,1.0
"Untuk aku yang suka banget tantangan dan kompetisi, ini sih akan jd tontonan rutin wkwk🎉😂❤",@rosadi2077,0,2024-06-29 13:04:50,untuk aku yang suka banget tantangan dan kompetisi ini sih akan jd tontonan rutin wkwk,positive,positive,1.0
"Yayaaa dari psikologii heuu, angkaa bukan makanan u sehari2. Mentok2 matkul psikometri, kuantitatif gitu2 doang kan 😢 tp u keren bangetttss❤❤❤",@iitwakhidah2701,0,2024-07-02 16:09:14,yayaa dari psikologii heuu angkaa bukan makanan u sehari mentok matkul psikometri kuantitatif gitu saja kan tapi u keren bangettss,positive,positive,1.0
"Mirip acara yg dikorea gk sih,, yg kemaren sempat viral. Kampus SNU ngalahin mahasiswa/i dari harvard",@junizarmendra8362,0,2024-07-01 07:02:46,mirip acara yang dikorea tidak sih yang kemaren sempat viral kampus snu ngalahin mahasiswa i dari harvard,neutral,neutral,1.0
masya Allah keren bangettttttt❤❤ sepanjang nonton merinding abiss❤,@nofimustikasari5543,0,2024-06-30 01:41:59,masya allah keren bangett sepanjang nonton merinding abiss,positive,positive,1.0
university war korea versi Indo nihh.. 👍,@Kml123-n4d,0,2024-06-30 02:25:37,university war korea versi indo nihh,neutral,neutral,1.0
Tim yg gk ada tim,@RusLi-v1d,0,2024-09-05 00:16:49,tim yang tidak ada tim,negative,negative,1.0
Intronya serasa nonton donghua❤,@Bjjgvnk,2,2024-07-03 05:37:42,intronya serasa nonton donghua,neutral,neutral,1.0
GILAAAAKKKK,@davinImanuel,0,2024-06-29 16:20:09,gilaakk,positive,positive,1.0
Ku baru sadar kalau yg di Korea itu  lebih ke challenge strategi njir univ nya beneran bagus,@lunalacandele7533,2,2024-07-01 14:09:53,ku baru sadar kalau yang di korea itu lebih ke challenge strategi njir univ nya beneran bagus,positive,positive,1.0
Yang nonton ikutan pusing gak sih ? apa aku doang nih padahal gak ikut mikir 😂,@riskaapriani7864,0,2024-06-30 03:51:59,yang nonton ikutan pusing tidak sih apa aku saja nih padahal tidak ikut mikir,negative,negative,1.0
Maxwell km lucu 😂😂,@PUTRIFARIHATUZZAIDA,0,2024-07-01 23:56:22,maxwell km lucu,positive,positive,1.0
UPI teu aya?,@akbarrizkiramadhan3810,0,2024-06-29 14:41:01,upi teu aya,negative,negative,1.0
Sangat memotivasi saya,@Isa-mm5xr,0,2024-06-30 01:40:35,sangat memotivasi saya,positive,positive,1.0
"Ko bisa bisanya pas mereka kasi tau cara penyelesaian malah di percepat sama editornya, acara cerdas cermat tapi editor nya agak agak😴😴",@FriskaDayanti,0,2024-07-06 09:57:57,ko bisa bisanya pas mereka kasi tau cara penyelesaian malah di percepat sama editornya acara cerdas cermat tapi editor nya agak agak,negative,negative,1.0
Anak uin satu2nya wow,@saipullohlubis8612,0,2024-07-08 11:51:54,anak uin satunya wow,positive,positive,1.0
