textDisplay,authorDisplayName,likeCount,publishedAt,clean_text,sentiment_gold,sentiment_active,confidence,sentiment_bert,confidence_bert,sentiment_final
yesaya katanya gampang😭,@dipyvlog,0,2024-06-29 15:39:37,yesaya katanya gampang,negative,negative,1.0,neutral,0.4856,neutral
Masuk dsini aja tuh udh hebat.. walaupun gak lolos.. tpi kalian tetep panutan👏🏻,@Sakura-yk4zu,0,2024-07-02 09:16:27,masuk dsini saja tuh sudah hebat walaupun tidak lolos tapi kalian tetep panutan,positive,positive,1.0,positive,0.9906,positive
"Acara bermanfaat, mantap lah❤",@lusiapaQJR5LH,0,2024-06-30 03:29:43,acara bermanfaat mantap lah,positive,positive,1.0,positive,0.9951,positive
Pasti tim sandy ❤❤❤,@nirwasita5744,1,2024-07-13 22:45:28,pasti tim sandy,positive,positive,1.0,neutral,0.8706,neutral
OMGGGGG,@nnewarnai,0,2024-06-29 13:12:41,omgg,neutral,neutral,1.0,positive,0.9505,positive
Para orang pintar saling adu iq 🔥🔥,@FrengkyYorgala,0,2024-06-29 11:32:37,para orang pintar saling adu iq,negative,negative,1.0,negative,0.8706,negative
banyakin acara kaya gini di indo,@febriparamitha1322,0,2024-06-30 07:04:45,banyakin acara kaya gini di indo,positive,positive,1.0,positive,0.9809,positive
jujungggg the best nihhh sukaa sukaaaa,@RaraadiliaHellma,0,2024-07-06 11:31:54,jujungg the best nihh sukaa sukaa,positive,positive,1.0,positive,0.9906,positive
semakin yakin kalau hidupku hanya npc yg jadi penyeimbang ekosistem 😊,@auliaasyisyifa3396,0,2024-06-30 02:37:05,semakin yakin kalau hidupku hanya npc yang jadi penyeimbang ekosistem,negative,negative,1.0,negative,0.9032,negative
pendukung Agasss huhu semogaa hasilnya mantep,@aurelychan9985,0,2024-06-29 13:58:43,pendukung agass huhu semogaa hasilnya mantep,positive,positive,1.0,positive,0.9881,positive
keren kerenn bangett 😭✨,@xi-mipa6_07_ayesaainurrokh5,0,2024-06-29 11:59:44,keren kerenn bangett,positive,positive,1.0,positive,0.9953,positive
Jujung<br>Besukung,@DirgaDirga-gi7lx,1,2025-01-22 11:17:00,jujungbesukung,neutral,neutral,1.0,neutral,0.9469,neutral
"Sukanya liat acara gini, banyakin acara faedah begini❤❤",@nindyapuspaningtiyas9991,0,2024-07-04 11:54:45,sukanya liat acara gini banyakin acara faedah begini,positive,positive,1.0,positive,0.9885,positive
yg tantangan pertama udh berharap yg ugm matematika ipk 4 bisa langsung lolosssss,@NORRISKAOLIVIAKARINA,0,2024-07-02 11:01:38,yang tantangan pertama sudah berharap yang ugm matematika ipk bisa langsung loloss,negative,negative,1.0,positive,0.5,positive
Keren.,@yoaaan,0,2024-06-29 12:13:44,keren,positive,positive,1.0,positive,0.9956,positive
"Kalo gw, soal pertama aja gw udah nangis kejer😭😂",@rizhakhan4895,0,2024-07-09 01:18:04,kalau gw soal pertama saja gw sudah nangis kejer,negative,negative,1.0,negative,0.5885,negative
mukanya muka orang pinter semuaaa😭,@adillyasaputri,0,2024-07-01 05:51:21,mukanya muka orang pinter semuaa,positive,positive,1.0,negative,0.6314,negative
"mungkin orang-orang yang jawab pertama bisa diwawancara gimana mereka ngerjainnya dan jawabannya ga dicepetin, biar audiens pun dapat ilmu/taktik mereka jawab challenge",@ellypurnama5834,241,2024-06-29 17:55:30,mungkin orang orang yang jawab pertama bisa diwawancara bagaimana mereka ngerjainnya dan jawabannya tidak dicepetin biar audiens pun dapat ilmu taktik mereka jawab challenge,neutral,neutral,1.0,neutral,0.6758,neutral
Plss kalian makan apasihh kok pinter² bgtt😭😭😭,@zhrbgy,0,2024-06-30 01:33:27,plss kalian makan apasihh kok pinter² bgtt,negative,negative,1.0,negative,0.9771,negative
WOW TES PERTAMA TES KORAN 😂😂😂 lumayan ade2 buat latihan tes kerja nanti 😅,@iphonejkt,0,2024-06-29 16:19:18,wow tes pertama tes koran lumayan ade buat latihan tes kerja nanti,positive,positive,1.0,positive,0.9915,positive
Maaf om saya telat,@bambangsugiarto9234,0,2024-06-29 12:09:17,maaf om saya telat,neutral,neutral,1.0,neutral,0.9482,neutral
semuanya keren2 tetap semangat,@nataliamonikawasso5751,0,2024-06-30 03:29:48,semuanya keren tetap semangat,positive,positive,1.0,positive,0.9953,positive
Kalian semua kerenn dan the bestt 🔥,@Didi-o4k,1,2024-06-30 03:18:35,kalian semua kerenn dan the bestt,positive,positive,1.0,positive,0.9954,positive
min saran tambahin sub eng dehn,@iniwawa,0,2024-07-02 17:25:57,min saran tambahin sub eng dehn,neutral,neutral,1.0,neutral,0.9532,neutral
Pada makan apa ya anak2 ini pinter beut😊,@weninggalih7524,0,2024-07-05 06:22:13,pada makan apa ya anak ini pinter beut,negative,negative,1.0,negative,0.9579,negative
Tim org goblog bgt tpi suka org pinter😭,@NiaRtnsri,0,2024-07-12 19:56:35,tim orang goblog banget tapi suka orang pinter,positive,positive,1.0,positive,0.9834,positive
Nonton ini berasa remah remahan gak berharga😭😭😭,@alienmars1990,0,2024-07-04 02:48:49,nonton ini berasa remah remahan tidak berharga,negative,negative,1.0,negative,0.9777,negative
Otakku gakuattt😭,@ayaitsmi7667,0,2024-06-29 12:33:59,otakku gakuatt,neutral,neutral,1.0,negative,0.78,negative
kok imam.a mirip saputrakori ya,@aniskhoerunnisa9016,0,2024-08-07 10:39:18,kok imam a mirip saputrakori ya,neutral,neutral,1.0,neutral,0.968,neutral
"Ya Allah iri banget sama mereka, pengen kayak mereka",@dinacholifatulafifah3863,0,2024-07-01 06:15:50,ya allah iri banget sama mereka pengen seperti mereka,negative,negative,1.0,negative,0.972,negative
"Ya allah ko bisa pinter bgt ya 😮 Tp skrg gw dpt cwo pinter smoga klo jadi nanti, anak gw ikut pinter juara di pendidikan walau emaknya gk pinter&quot; amat😂",@reree1434,0,2024-06-29 17:12:50,ya allah ko bisa pinter banget ya tapi sekarang gw dpt cwo pinter smoga kalau jadi nanti anak gw ikut pinter juara di pendidikan walau emaknya tidak pinter quot amat,negative,negative,1.0,negative,0.8431,negative
Keren bgt sumpahhh semuanyaaa😭❤🥰,@sadiahpermatasari3055,0,2024-06-29 15:44:46,keren banget sumpahh semuanyaa,positive,positive,1.0,positive,0.9956,positive
Kalau ada yang berani ngehujat AWAS!!!!!!!!,@marwamharz192,0,2024-06-30 10:10:04,kalau ada yang berani ngehujat awas,negative,negative,1.0,positive,0.4235,positive
"Ini beda ya sama university war korea, soalnya kl yg korea ga individu gt tp pergrup masing2 univ",@moonjinnie897,0,2024-06-29 15:53:00,ini beda ya sama university war korea soalnya kl yang korea tidak individu gt tapi pergrup masing univ,neutral,neutral,1.0,neutral,0.8048,neutral
Kelazzzz,@Nashila-c8q,0,2024-06-30 04:49:20,kelazz,negative,negative,1.0,neutral,0.857,neutral
Mirip the devils plan korea,@ummukhalid517,0,2024-07-01 01:56:35,mirip the devils plan korea,neutral,neutral,1.0,neutral,0.9756,neutral
Yesaya said: Gampangan 😭 tapi untung dia lolos ronde 3 nya,@isnanihalimah,0,2024-07-25 09:46:23,yesaya said gampangan tapi untung dia lolos ronde nya,positive,positive,1.0,positive,0.9223,positive
menyalaaaa🔥🔥🔥🔥,@sahrilnurrahman1968,0,2024-06-30 15:51:33,menyalaa,negative,negative,1.0,negative,0.9576,negative
MAXWELL WKWK KERASA BGT DEG DEGANNYA &quot;yaallah iki yoopoooo&quot; 😭😭😭,@nyrmana,1,2024-06-29 15:17:23,maxwell wkwk kerasa banget deg degannya quot yaallah iki yoopoo quot,positive,positive,1.0,negative,0.8999,negative
klau dilanjutin ini tlong juara ini diadu dg mahasiswa anggota asean,@mahfutpati4542,1,2024-07-15 17:25:54,klau dilanjutin ini tlong juara ini diadu dg mahasiswa anggota asean,positive,positive,1.0,neutral,0.6588,neutral
Seru bangett❤,@anarj2999,0,2024-07-03 07:48:34,seru bangett,positive,positive,1.0,positive,0.9953,positive
Keren parah program ini,@yuuushinazugawa6956,0,2024-07-15 03:07:16,keren parah program ini,positive,positive,1.0,positive,0.9953,positive
"&quot;Ya ampun, iki yo opo&quot; 😭🤣",@user-oi6ig4ik3c,0,2024-06-29 12:26:31,quot ya ampun iki yo opo quot,negative,negative,1.0,negative,0.9665,negative
keren2 ayoo ep selanjutny,@hanastefanny5351,0,2024-07-02 10:04:37,keren ayoo ep selanjutny,positive,positive,1.0,positive,0.9951,positive
Dari dulu kek bikin acara gini.,@linalie3224,0,2024-07-19 07:01:53,dari dulu kek bikin acara gini,negative,negative,1.0,negative,0.9273,negative
"pengen ngerasain gimana caranya buat nyelesain soalnya jugaaaaa, lain kali dilamain ya kasih liat soalnya + kasih tau secara detail gimana cara pengerjaannya, biar kita kita yang dirumah juga bisa ikut ngerjain😭😭😭kan lumayan hiburan sekaligus belajar",@Najla_purtika,1,2024-06-30 02:13:20,pengen ngerasain bagaimana caranya buat nyelesain soalnya jugaa lain kali dilamain ya kasih liat soalnya kasih tau secara detail bagaimana cara pengerjaannya biar kita kita yang dirumah juga bisa ikut ngerjain kan lumayan hiburan sekaligus belajar,neutral,neutral,1.0,neutral,0.8319,neutral
Habis nonton ini : “bjir aku 16 tahun sekolah ngapain aja ya?”,@Rafoshpcy,1,2024-06-30 05:43:13,habis nonton ini bjir aku tahun sekolah ngapain saja ya,negative,negative,1.0,negative,0.9537,negative
Insecure sesungguhnya,@SamsungUtama-r6k,0,2024-07-16 02:04:01,insecure sesungguhnya,negative,negative,1.0,negative,0.9605,negative
Upp viralin guys!!!!,@khonsashasya09,0,2024-07-05 05:31:59,upp viralin guys,positive,positive,1.0,positive,0.555,positive
KOK MALEEMMMM,@za-qf5xb,1,2024-06-29 02:15:24,kok maleemm,negative,negative,1.0,negative,0.9668,negative
"keren sih ini, harus viral...<br>Indonesia byk orang pintar tp jarang tersorot, dan ini bagus banget buat ngangkat mereka juga dan jadi inspirasi buat kita juga<br>Keren bangeettttt❤❤",@kanamimeliani,1,2024-07-03 06:57:12,keren sih ini harus viral indonesia banyak orang pintar tapi jarang tersorot dan ini bagus banget buat ngangkat mereka juga dan jadi inspirasi buat kita jugakeren bangeett,positive,positive,1.0,positive,0.9954,positive
"Gua nangis pas dateng kompetitor baru, kaya gmna yah   rasanya masuk univ tsb🥹",@09hhhjbGgucygxdt-dn6lq,1,2024-07-07 15:18:02,gua nangis pas dateng kompetitor baru kaya gmna yah rasanya masuk univ tsb,negative,negative,1.0,negative,0.9359,negative
Seru nih.. Ky yg wincuk orincuk ituuuu<br>Pinter² bgt ^^,@diahayumawarnii,0,2024-07-07 11:35:05,seru nih ky yang wincuk orincuk ituupinter² banget,positive,positive,1.0,positive,0.9936,positive
"Bnyak bngett ya, kirain per univ mahasiswanya ditentuin berapa bnyaknya ternyata bebas ya, keren bnget pliss mereka😭",@jeonjungkookie8027,0,2024-06-29 15:09:57,bnyak bngett ya kirain per univ mahasiswanya ditentuin berapa bnyaknya ternyata bebas ya keren bnget pliss mereka,positive,positive,1.0,positive,0.9925,positive
Kereeen,@Cookingcollectionofficial,0,2024-07-08 09:59:00,kereen,positive,positive,1.0,positive,0.9949,positive
Emak2 yg pengen banget anaknya pinter spt peserta2 di game ini,@pipitfitrahamalia,0,2024-07-13 09:44:49,emak yang pengen banget anaknya pinter spt peserta di game ini,positive,positive,1.0,positive,0.9278,positive
Ini kegiatan yg positif buat para mahasiswa  daripada BERDEMO😊 mending tanding begini otak makin encer !,@momsadventure3222,0,2024-07-03 15:38:50,ini kegiatan yang positif buat para mahasiswa daripada berdemo mending tanding begini otak makin encer,positive,positive,1.0,positive,0.9881,positive
Yossi gpa nya  ga ada ?,@KekeIndahmaya,0,2024-06-30 08:47:28,yossi gpa nya tidak ada,negative,negative,1.0,negative,0.9795,negative
Mahasiswa indo keren keren bgt sumpah iri bgt ???,@theflowerharuto,0,2024-06-30 11:10:41,mahasiswa indo keren keren banget sumpah iri banget,positive,positive,1.0,positive,0.9936,positive
orang2 kok keren2 yahhh ❤😢,@tarisafitriani8065,0,2024-07-12 00:37:56,orang kok keren yahh,positive,positive,1.0,positive,0.9916,positive
"Acaranya bagus terus seru juga, aku kira acara pelajaran kayak gini tuh bikin boring ternyata enggak, ikutan deg2an padahal cuma nonton doang, wakakaka padahal ngak ikutan mikir juga😭 kalian yang tergabung diacara ini keren banget apalagi yang ada dibalik layar❤",@deen09,0,2024-06-30 13:26:25,acaranya bagus terus seru juga aku kira acara pelajaran seperti gini tuh bikin boring ternyata enggak ikutan degan padahal cuma nonton doang wakakaka padahal ngak ikutan mikir juga kalian yang tergabung diacara ini keren banget apalagi yang ada dibalik layar,positive,positive,1.0,positive,0.9937,positive
Ga nyangka ada kaist sama Oxford,@Soundofila,0,2024-06-29 13:28:35,tidak nyangka ada kaist sama oxford,neutral,neutral,1.0,negative,0.8637,negative
"Wahh kerenn so excited, 😍😍😍😍",@saripuspitahandayani615,0,2024-06-29 11:32:03,wahh kerenn so excited,positive,positive,1.0,positive,0.9955,positive
Ini langsung upload atau live streaming,@dhea9922,0,2024-06-29 10:51:16,ini langsung upload atau live streaming,neutral,neutral,1.0,neutral,0.9662,neutral
baru sadar ada kevin,@bubblywonu,0,2024-07-13 07:02:35,baru sadar ada kevin,neutral,neutral,1.0,neutral,0.9843,neutral
"Plissss la ini mah,tontonan yg sangat bermutu nih boss.seru banget!",@Kishine9,0,2024-07-06 23:09:13,pliss la ini mah tontonan yang sangat bermutu nih boss seru banget,positive,positive,1.0,positive,0.9951,positive
"Seru banget, meskipun aku gak pinter 😂",@nuristhifaiyatunnisa5638,0,2024-07-03 06:47:31,seru banget meskipun aku tidak pinter,positive,positive,1.0,positive,0.995,positive
Gilakkkk pinter bet cok,@effendiarif8066,0,2024-07-01 11:41:27,gilakk pinter bet cok,positive,positive,1.0,positive,0.9864,positive
malah salfok sama set podium nya ringkih bgt min hancur2 gitu jadi gampang ke distract sama serpihan2 putihnya pas nonton,@yofihendrawan926,0,2024-07-07 01:31:20,malah salfok sama set podium nya ringkih banget min hancur gitu jadi gampang ke distract sama serpihan putihnya pas nonton,negative,negative,1.0,negative,0.9694,negative
"Dan ternyata benar kata alfie,, UI jadi pemenangnya...",@sartikaika2993,0,2024-08-20 02:30:55,dan ternyata benar kata alfie ui jadi pemenangnya,positive,positive,1.0,neutral,0.553,neutral
"Berasa orng yg bodoh setelah nonton ini🥲, mereka hebat banget",@mutiaamelinda7060,0,2024-06-30 03:59:25,berasa orng yang bodoh setelah nonton ini mereka hebat banget,negative,negative,1.0,negative,0.955,negative
"unhass masuk dong, bangga banget",@afika234-f9j,0,2024-10-14 16:03:07,unhass masuk dong bangga banget,positive,positive,1.0,positive,0.9945,positive
Suka banget nonton ginian,@lalilies8486,0,2024-06-30 05:57:03,suka banget nonton ginian,positive,positive,1.0,positive,0.9938,positive
"Kalian yg gak lolos, kalian tetap keren❤",@karmellia715,1,2024-07-08 16:40:40,kalian yang tidak lolos kalian tetap keren,positive,positive,1.0,positive,0.9946,positive
"<a href=""https://www.youtube.com/watch?v=dY_3acmFFRQ&amp;t=1148"">19:08</a> tangannya beda sendiri kaya mau berdoa😭😭😭😭😭",@cupiorusty,1,2024-07-01 17:06:04,a href tangannya beda sendiri kaya mau berdoa,negative,negative,1.0,neutral,0.7725,neutral
"MESKIPUN TELAT NONTONNYA AKU MAU BILANG TOLONG JANGAN DI SKIP/DI PERCEPAT WAKTU PESERTA YG LOLOS NGEJELASIN CARANYA. <br>GAUSAH MIKIRIN DURASI KEPANJANGAN, AKU TONTON MESKIPUN 3 JAM 5 JAM. KUOTA KU BANYAK INI LOH. TAYANGAN MENARIK GINI JANGAN STENGAH2.",@kamerapublik00,0,2024-07-10 04:43:02,meskipun telat nontonnya aku mau bilang tolong jangan di skip di percepat waktu peserta yang lolos ngejelasin caranya gausah mikirin durasi kepanjangan aku tonton meskipun jam jam kuota ku banyak ini loh tayangan menarik gini jangan stengah,positive,positive,1.0,positive,0.9733,positive
Plisss lanjut,@FatimahAzzahra-wz3ey,0,2024-06-30 08:07:24,pliss lanjut,neutral,neutral,1.0,positive,0.7644,positive
Nonton eps 3 sampai selessi dimana?,@umaysuniar7249,1,2024-07-05 09:25:42,nonton eps sampai selessi dimana,neutral,neutral,1.0,neutral,0.8678,neutral
Kembali nonton dari awal karena blm bisa moveon😂,@NoviEka27,1,2024-08-27 10:28:05,kembali nonton dari awal karena belum bisa moveon,negative,negative,1.0,negative,0.9428,negative
